square_id,cluster_k4,cluster_label
5801,2,Moderate activity
5802,2,Moderate activity
5803,0,Low activity / peripheral
5804,0,Low activity / peripheral
5805,0,Low activity / peripheral
5806,0,Low activity / peripheral
5807,0,Low activity / peripheral
5808,0,Low activity / peripheral
5809,0,Low activity / peripheral
5810,0,Low activity / peripheral
5811,0,Low activity / peripheral
5812,0,Low activity / peripheral
5813,0,Low activity / peripheral
5814,0,Low activity / peripheral
5815,0,Low activity / peripheral
5816,0,Low activity / peripheral
5817,0,Low activity / peripheral
5818,0,Low activity / peripheral
5819,0,Low activity / peripheral
5820,0,Low activity / peripheral
5821,0,Low activity / peripheral
5822,0,Low activity / peripheral
5823,0,Low activity / peripheral
5824,0,Low activity / peripheral
5825,2,Moderate activity
5826,0,Low activity / peripheral
5827,2,Moderate activity
5828,2,Moderate activity
5829,0,Low activity / peripheral
5830,0,Low activity / peripheral
5831,0,Low activity / peripheral
5832,0,Low activity / peripheral
5833,0,Low activity / peripheral
5834,0,Low activity / peripheral
5835,2,Moderate activity
5836,2,Moderate activity
5837,0,Low activity / peripheral
5838,0,Low activity / peripheral
5839,0,Low activity / peripheral
5840,2,Moderate activity
5841,2,Moderate activity
5842,2,Moderate activity
5843,1,Urban mixed-use
5844,3,High-activity core
5845,3,High-activity core
5846,1,Urban mixed-use
5847,1,Urban mixed-use
5848,1,Urban mixed-use
5849,1,Urban mixed-use
5850,3,High-activity core
5851,3,High-activity core
5852,3,High-activity core
5853,3,High-activity core
5854,3,High-activity core
5855,3,High-activity core
5856,3,High-activity core
5857,3,High-activity core
5858,3,High-activity core
5859,3,High-activity core
5860,3,High-activity core
5861,3,High-activity core
5862,3,High-activity core
5863,3,High-activity core
5864,3,High-activity core
5865,3,High-activity core
5866,3,High-activity core
5867,3,High-activity core
5868,3,High-activity core
5869,3,High-activity core
5870,3,High-activity core
5871,3,High-activity core
5872,3,High-activity core
5873,3,High-activity core
5874,1,Urban mixed-use
5875,1,Urban mixed-use
5876,1,Urban mixed-use
5877,3,High-activity core
5878,1,Urban mixed-use
5879,2,Moderate activity
5880,2,Moderate activity
5881,2,Moderate activity
5882,2,Moderate activity
5883,2,Moderate activity
5884,2,Moderate activity
5885,2,Moderate activity
5886,2,Moderate activity
5887,2,Moderate activity
5888,2,Moderate activity
5889,0,Low activity / peripheral
5890,0,Low activity / peripheral
5891,0,Low activity / peripheral
5892,0,Low activity / peripheral
5893,0,Low activity / peripheral
5894,2,Moderate activity
5895,2,Moderate activity
5896,2,Moderate activity
5897,2,Moderate activity
5898,2,Moderate activity
5899,2,Moderate activity
5900,2,Moderate activity
5901,2,Moderate activity
5902,0,Low activity / peripheral
5903,0,Low activity / peripheral
5904,0,Low activity / peripheral
5905,0,Low activity / peripheral
5906,0,Low activity / peripheral
5907,0,Low activity / peripheral
5908,0,Low activity / peripheral
5909,0,Low activity / peripheral
5910,0,Low activity / peripheral
5911,0,Low activity / peripheral
5912,0,Low activity / peripheral
5913,0,Low activity / peripheral
5914,0,Low activity / peripheral
5915,0,Low activity / peripheral
5916,0,Low activity / peripheral
5917,0,Low activity / peripheral
5918,0,Low activity / peripheral
5919,0,Low activity / peripheral
5920,0,Low activity / peripheral
5921,0,Low activity / peripheral
5922,0,Low activity / peripheral
5923,0,Low activity / peripheral
5924,0,Low activity / peripheral
5925,0,Low activity / peripheral
5926,0,Low activity / peripheral
5927,0,Low activity / peripheral
5928,2,Moderate activity
5929,0,Low activity / peripheral
5930,0,Low activity / peripheral
5931,0,Low activity / peripheral
5932,0,Low activity / peripheral
5933,0,Low activity / peripheral
5934,0,Low activity / peripheral
5935,0,Low activity / peripheral
5936,2,Moderate activity
5937,2,Moderate activity
5938,0,Low activity / peripheral
5939,0,Low activity / peripheral
5940,2,Moderate activity
5941,2,Moderate activity
5942,2,Moderate activity
5943,2,Moderate activity
5944,1,Urban mixed-use
5945,1,Urban mixed-use
5946,1,Urban mixed-use
5947,1,Urban mixed-use
5948,1,Urban mixed-use
5949,3,High-activity core
5950,3,High-activity core
5951,3,High-activity core
5952,3,High-activity core
5953,3,High-activity core
5954,3,High-activity core
5955,3,High-activity core
5956,3,High-activity core
5957,3,High-activity core
5958,3,High-activity core
5959,3,High-activity core
5960,3,High-activity core
5961,3,High-activity core
5962,3,High-activity core
5963,3,High-activity core
5964,3,High-activity core
5965,3,High-activity core
5966,3,High-activity core
5967,3,High-activity core
5968,3,High-activity core
5969,3,High-activity core
5970,3,High-activity core
5971,3,High-activity core
5972,3,High-activity core
5973,3,High-activity core
5974,3,High-activity core
5975,3,High-activity core
5976,3,High-activity core
5977,3,High-activity core
5978,1,Urban mixed-use
5979,2,Moderate activity
5980,2,Moderate activity
5981,2,Moderate activity
5982,2,Moderate activity
5983,2,Moderate activity
5984,2,Moderate activity
5985,2,Moderate activity
5986,2,Moderate activity
5987,2,Moderate activity
5988,2,Moderate activity
5989,0,Low activity / peripheral
5990,0,Low activity / peripheral
5991,0,Low activity / peripheral
5992,2,Moderate activity
5993,0,Low activity / peripheral
5994,2,Moderate activity
5995,2,Moderate activity
5996,2,Moderate activity
5997,2,Moderate activity
5998,2,Moderate activity
5999,2,Moderate activity
6000,2,Moderate activity
6001,2,Moderate activity
6002,2,Moderate activity
6003,2,Moderate activity
6004,0,Low activity / peripheral
6005,0,Low activity / peripheral
6006,0,Low activity / peripheral
6007,0,Low activity / peripheral
6008,0,Low activity / peripheral
6009,0,Low activity / peripheral
6010,0,Low activity / peripheral
6011,0,Low activity / peripheral
6012,0,Low activity / peripheral
6013,0,Low activity / peripheral
6014,0,Low activity / peripheral
6015,0,Low activity / peripheral
6016,0,Low activity / peripheral
6017,2,Moderate activity
6018,2,Moderate activity
6019,0,Low activity / peripheral
6020,0,Low activity / peripheral
6021,0,Low activity / peripheral
6022,0,Low activity / peripheral
6023,0,Low activity / peripheral
6024,0,Low activity / peripheral
6025,0,Low activity / peripheral
6026,0,Low activity / peripheral
6027,0,Low activity / peripheral
6028,0,Low activity / peripheral
6029,0,Low activity / peripheral
6030,0,Low activity / peripheral
6031,0,Low activity / peripheral
6032,0,Low activity / peripheral
6033,0,Low activity / peripheral
6034,0,Low activity / peripheral
6035,0,Low activity / peripheral
6036,2,Moderate activity
6037,2,Moderate activity
6038,2,Moderate activity
6039,2,Moderate activity
6040,2,Moderate activity
6041,2,Moderate activity
6042,2,Moderate activity
6043,2,Moderate activity
6044,1,Urban mixed-use
6045,1,Urban mixed-use
6046,1,Urban mixed-use
6047,1,Urban mixed-use
6048,1,Urban mixed-use
6049,3,High-activity core
6050,3,High-activity core
6051,3,High-activity core
6052,3,High-activity core
6053,3,High-activity core
6054,3,High-activity core
6055,3,High-activity core
6056,3,High-activity core
6057,3,High-activity core
6058,3,High-activity core
6059,3,High-activity core
6060,3,High-activity core
6061,3,High-activity core
6062,3,High-activity core
